# Route: kenma_HaL_HaR
# Comment: Knife sharpening route (Left+Right blade faces) — converted from HaL.LS/HaR.LS
# UFrame: 9, UTool: 9
# Coordinate system: World frame (UF9 applied: origin=550,-10,300mm, Rz=90deg)
# UF9: X=550,Y=-10,Z=300(table),R=90deg  UT9: Z=150,W=-90,R=90deg
# Generated from FANUC LS files: kenma.LS + HaL.LS + HaR.LS
# world_X = 550 - uf9_Y,  world_Y = -10 + uf9_X,  world_Z = 300 + uf9_Z
# Columns: x_mm, y_mm, z_mm, rx_deg, ry_deg, rz_deg, speed_mmps, motion_type, label
x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,speed_mmps,motion_type,label
567.5,-95.0,310.0,180.0,0.0,90.0,100,J,Approach_HaL
567.5,-95.0,294.5,180.0,2.0,90.0,500,L,HaL_P1_start
563.2,-95.0,294.5,180.0,2.0,90.0,500,L,HaL_P1
558.9,-95.0,294.3,180.0,3.0,90.0,500,L,HaL_P1
554.6,-95.0,293.7,180.0,5.0,90.0,500,L,HaL_P1
552.1,-95.0,293.4,180.0,9.0,90.0,500,L,HaL_P1
550.3,-95.0,293.4,180.0,11.0,90.0,500,L,HaL_P1_end
552.1,-95.0,303.2,180.0,11.0,90.0,1000,L,HaL_P1_retract
569.0,-105.0,304.5,180.0,2.0,90.0,1000,L,HaL_P2_approach
568.7,-105.0,294.5,180.0,2.0,90.0,500,L,HaL_P2_start
564.4,-105.0,294.3,180.0,2.0,90.0,500,L,HaL_P2
560.1,-105.0,294.1,180.0,3.0,90.0,500,L,HaL_P2
555.8,-105.0,293.5,180.0,5.0,90.0,500,L,HaL_P2
551.5,-105.0,293.4,180.0,9.0,90.0,500,L,HaL_P2_end
553.1,-105.0,303.4,180.0,9.0,90.0,1000,L,HaL_P2_retract
570.5,-115.0,304.8,180.0,2.0,90.0,1000,L,HaL_P3_approach
570.3,-115.0,294.5,180.0,2.0,90.0,500,L,HaL_P3_start
566.0,-115.0,294.3,180.0,2.0,90.0,500,L,HaL_P3
561.7,-115.0,294.1,180.0,3.0,90.0,500,L,HaL_P3
557.4,-115.0,293.5,180.0,5.0,90.0,500,L,HaL_P3
553.1,-115.0,293.4,180.0,9.0,90.0,500,L,HaL_P3
551.0,-115.0,293.4,180.0,11.0,90.0,500,L,HaL_P3_end
553.1,-115.0,303.4,180.0,11.0,90.0,1000,L,HaL_P3_retract
572.0,-125.0,305.0,180.0,2.0,90.0,1000,L,HaL_P4_approach
571.7,-125.0,294.5,180.0,2.0,90.0,500,L,HaL_P4_start
567.4,-125.0,294.3,180.0,2.0,90.0,500,L,HaL_P4
563.1,-125.0,294.1,180.0,3.0,90.0,500,L,HaL_P4
558.8,-125.0,293.5,180.0,5.0,90.0,500,L,HaL_P4
554.5,-125.0,293.4,180.0,9.0,90.0,500,L,HaL_P4
552.0,-125.0,293.4,180.0,11.0,90.0,500,L,HaL_P4_end
553.0,-125.0,303.4,180.0,11.0,90.0,1000,L,HaL_P4_retract
567.5,-95.0,310.0,180.0,0.0,90.0,1000,L,Intermediate_to_HaR
567.5,-95.0,294.5,180.0,-2.0,90.0,500,L,HaR_P1_start
563.2,-95.0,294.5,180.0,-2.0,90.0,500,L,HaR_P1
558.9,-95.0,294.3,180.0,-3.0,90.0,500,L,HaR_P1
554.6,-95.0,293.7,180.0,-5.0,90.0,500,L,HaR_P1
552.1,-95.0,293.4,180.0,-9.0,90.0,500,L,HaR_P1
550.3,-95.0,293.4,180.0,-11.0,90.0,500,L,HaR_P1_end
552.1,-95.0,303.2,180.0,-11.0,90.0,1000,L,HaR_P1_retract
569.0,-105.0,304.5,180.0,-2.0,90.0,1000,L,HaR_P2_approach
568.7,-105.0,294.5,180.0,-2.0,90.0,500,L,HaR_P2_start
564.4,-105.0,294.3,180.0,-2.0,90.0,500,L,HaR_P2
560.1,-105.0,294.1,180.0,-3.0,90.0,500,L,HaR_P2
555.8,-105.0,293.5,180.0,-5.0,90.0,500,L,HaR_P2
551.5,-105.0,293.4,180.0,-9.0,90.0,500,L,HaR_P2_end
553.1,-105.0,303.4,180.0,-9.0,90.0,1000,L,HaR_P2_retract
570.5,-115.0,304.8,180.0,-2.0,90.0,1000,L,HaR_P3_approach
570.3,-115.0,294.5,180.0,-2.0,90.0,500,L,HaR_P3_start
566.0,-115.0,294.3,180.0,-2.0,90.0,500,L,HaR_P3
561.7,-115.0,294.1,180.0,-3.0,90.0,500,L,HaR_P3
557.4,-115.0,293.5,180.0,-5.0,90.0,500,L,HaR_P3
553.1,-115.0,293.4,180.0,-9.0,90.0,500,L,HaR_P3
551.0,-115.0,293.4,180.0,-11.0,90.0,500,L,HaR_P3_end
553.1,-115.0,303.4,180.0,-11.0,90.0,1000,L,HaR_P3_retract
567.5,-95.0,320.0,180.0,0.0,90.0,1000,L,Return
